4	main	2048	128	1840	   2048x   128x  1840 wg=   16 S=1 -> 128x128 :  0.012680 ms    76.079 TFLOPs
4	pr7	2048	128	1840	   2048x   128x  1840 wg=    0 S=1 -> 256x256 :  0.023662 ms    40.769 TFLOPs
5	main	2048	6144	512	   2048x  6144x   512 wg=  256 S=1 -> 128x384 :  0.016366 ms   787.295 TFLOPs
5	pr7	2048	6144	512	   2048x  6144x   512 wg=  256 S=1 -> 128x384 :  0.017730 ms   726.727 TFLOPs
5	main	2048	2048	3490	   2048x  2048x  3490 wg=  256 S=2 -> 128x256 :  0.036312 ms   806.240 TFLOPs
5	pr7	2048	2048	3490	   2048x  2048x  3490 wg=  256 S=2 -> 128x256 :  0.034946 ms   837.755 TFLOPs
5	main	2048	1024	105728	   2048x  1024x105728 wg=  256 S=4 -> 128x256 :  0.319070 ms  1389.838 TFLOPs
5	pr7	2048	1024	105728	   2048x  1024x105728 wg=  256 S=4 -> 128x256 :  0.314027 ms  1412.158 TFLOPs
5	main	2048	1024	16128	   2048x  1024x 16128 wg=  256 S=4 -> 128x256 :  0.052974 ms  1276.961 TFLOPs
5	pr7	2048	1024	16128	   2048x  1024x 16128 wg=  256 S=4 -> 128x256 :  0.054308 ms  1245.591 TFLOPs
5	main	2048	4096	4096	   2048x  4096x  4096 wg=  256 S=1 -> 128x256 :  0.042042 ms  1634.551 TFLOPs
5	pr7	2048	4096	4096	   2048x  4096x  4096 wg=  256 S=1 -> 128x256 :  0.042312 ms  1624.107 TFLOPs
5	main	2048	128	64	   2048x   128x    64 wg=   16 S=1 -> 128x128 :  0.003980 ms     8.431 TFLOPs
5	pr7	2048	128	64	   2048x   128x    64 wg=    0 S=1 -> 256x256 :  0.008092 ms     4.147 TFLOPs
5	main	2048	128	1840	   2048x   128x  1840 wg=   16 S=1 -> 128x128 :  0.012694 ms    75.996 TFLOPs
5	pr7	2048	128	1840	   2048x   128x  1840 wg=    0 S=1 -> 256x256 :  0.023680 ms    40.739 TFLOPs
6	main	2048	6144	512	   2048x  6144x   512 wg=  256 S=1 -> 128x384 :  0.016614 ms   775.543 TFLOPs
6	pr7	2048	6144	512	   2048x  6144x   512 wg=  256 S=1 -> 128x384 :  0.017640 ms   730.432 TFLOPs
6	main	2048	2048	3490	   2048x  2048x  3490 wg=  256 S=2 -> 128x256 :  0.035268 ms   830.105 TFLOPs
6	pr7	2048	2048	3490	   2048x  2048x  3490 wg=  256 S=2 -> 128x256 :  0.035986 ms   813.541 TFLOPs
6	main	2048	1024	105728	   2048x  1024x105728 wg=  256 S=4 -> 128x256 :  0.317588 ms  1396.324 TFLOPs
6	pr7	2048	1024	105728	   2048x  1024x105728 wg=  256 S=4 -> 128x256 :  0.319655 ms  1387.294 TFLOPs
6	main	2048	1024	16128	   2048x  1024x 16128 wg=  256 S=4 -> 128x256 :  0.052636 ms  1285.156 TFLOPs
6	pr7	2048	1024	16128	   2048x  1024x 16128 wg=  256 S=4 -> 128x256 :  0.053570 ms  1262.749 TFLOPs
6	main	2048	4096	4096	   2048x  4096x  4096 wg=  256 S=1 -> 128x256 :  0.042144 ms  1630.580 TFLOPs
6	pr7	2048	4096	4096	   2048x  4096x  4096 wg=  256 S=1 -> 128x256 :  0.041940 ms  1638.511 TFLOPs
6	main	2048	128	64	   2048x   128x    64 wg=   16 S=1 -> 128x128 :  0.003984 ms     8.422 TFLOPs
6	pr7	2048	128	64	   2048x   128x    64 wg=    0 S=1 -> 256x256 :  0.008072 ms     4.157 TFLOPs
6	main	2048	128	1840	   2048x   128x  1840 wg=   16 S=1 -> 128x128 :  0.012692 ms    76.008 TFLOPs
6	pr7	2048	128	1840	   2048x   128x  1840 wg=    0 S=1 -> 256x256 :  0.023666 ms    40.763 TFLOPs
7	main	2048	6144	512	   2048x  6144x   512 wg=  256 S=1 -> 128x384 :  0.016666 ms   773.123 TFLOPs
7	pr7	2048	6144	512	   2048x  6144x   512 wg=  256 S=1 -> 128x384 :  0.018068 ms   713.130 TFLOPs
7	main	2048	2048	3490	   2048x  2048x  3490 wg=  256 S=2 -> 128x256 :  0.036148 ms   809.896 TFLOPs
7	pr7	2048	2048	3490	   2048x  2048x  3490 wg=  256 S=2 -> 128x256 :  0.034834 ms   840.445 TFLOPs
7	main	2048	1024	105728	   2048x  1024x105728 wg=  256 S=4 -> 128x256 :  0.319321 ms  1388.743 TFLOPs
7	pr7	2048	1024	105728	   2048x  1024x105728 wg=  256 S=4 -> 128x256 :  0.318490 ms  1392.368 TFLOPs
7	main	2048	1024	16128	   2048x  1024x 16128 wg=  256 S=4 -> 128x256 :  0.053834 ms  1256.558 TFLOPs
7	pr7	2048	1024	16128	   2048x  1024x 16128 wg=  256 S=4 -> 128x256 :  0.053496 ms  1264.495 TFLOPs
7	main	2048	4096	4096	   2048x  4096x  4096 wg=  256 S=1 -> 128x256 :  0.042754 ms  1607.315 TFLOPs
7	pr7	2048	4096	4096	   2048x  4096x  4096 wg=  256 S=1 -> 128x256 :  0.041964 ms  1637.578 TFLOPs
7	main	2048	128	64	   2048x   128x    64 wg=   16 S=1 -> 128x128 :  0.004002 ms     8.384 TFLOPs
7	pr7	2048	128	64	   2048x   128x    64 wg=    0 S=1 -> 256x256 :  0.008080 ms     4.153 TFLOPs
7	main	2048	128	1840	   2048x   128x  1840 wg=   16 S=1 -> 128x128 :  0.012678 ms    76.092 TFLOPs
